id,entities,clean_text
1382,PER/Ben Affleck;,"Ben Affleck to Direct New Movie! The actor, who won huge critical acclaim with his directing skills for? The To ..."
1383,PER/Ben Rothlisberger;ORG/Jets;,Ben Rothlisberger is about to RAPE this Jets defense lmao
1384,ORG/Bertuccis;,Bertuccis bread and oil = orgasmic
1385,PER/Erik Hayden;,Best Tweets TSA Body-Scanning Edition by Erik Hayden
1386,PER/noahgraham;,Big boss man by noahgraham via
1387,PER/Khali;,big daddy Khali is the name .
1388,ORG/Pats;ORG/Colts;PER/Peyton;PER/Brady;ORG/Pats;,BIG game today . Pats vs Colts!!!! Love watching Peyton and Brady go at it!!! I got the Pats in this game
1389,PER/JOHN ABRAHAM;,BIG JOHN ABRAHAM BABY!!!!! I love it!!
1390,PER/Claire Denis;MISC/Made in Dagenham;ORG/indieWIRE;,"Big Screen This Week's Top 5 IDFA, Claire Denis, "" "" ""Made in Dagenham "" "" and More Each week here at indieWIRE "", fi ..."
1391,PER/Bill blair;,"""Bill blair defense is "" ""lawyers made me do it "" "" hahahahahahaha """
1392,PER/Bill Cosby;,Bill Cosby is alive and doing alright .
1393,PER/Bill Cowher;PER/Coughlin;LOC/NY;,"Bill Cowher? RT Still believe Coughlin has run his course in NY, burned out his team . Time for him to go ."
1394,PER/Bill Maher;,Bill Maher is hilarious!!! Love his for his season finale
1395,PER/Bill Nye;MISC/2010 Humanist of the year;,Bill Nye acceptance speech for 2010 Humanist of the year .
1396,PER/Billie Holiday;,Billie Holiday - My Man
1397,PER/Bing Crosby;,Bing Crosby - Silent Night
1398,MISC/Black Swan;PER/Natalie Portman;LOC/UK;,Black Swan poster Natalie Portman ( UK) via
1399,ORG/BMW;,"BMW A must see 2004 325i bmw - (atlanta) $ 7000 This car has been pampered, have ..."
1400,PER/Bob Marley;ORG/MSN;,Bob Marley chills baby MSN Video
1401,PER/Bobby Heenan;PER/Harley Race;,Bobby Heenan and Harley Race have been invited to Wrestlemania .
1402,,Bored? Come video chat with me and 82 others at (
1403,LOC/u.s.a.;,born and rasied in da u.s.a. where my president iz b.l.a.c.k. Where my president iz b.l.a.c.k.
1404,PER/Kid Rock;,BORRRRN FREEEE! Get it Kid Rock!
1405,ORG/Boston Celtics;MISC/Nba;,Boston Celtics Nba Beauty of Basketball
1406,PER/Bow Wow;,Bow Wow needs some professional help ... he is not mentally stable
1407,,"Brandi sister ain raw, lol The king of the jungle"
1408,PER/Brandon Flowers;,Brandon Flowers and crossfire! . (3
1409,PER/Brandon Jacobs;,Brandon Jacobs for the great run
1410,,Breakfast Strata Rockin Chef Nice for a Sunday Brunch or Holiday Breakfast . .
1411,PER/Nancy Pelosi;ORG/Democrats;,BREAKING Nancy Pelosi elected House minority leader by Democrats in a 150 to 43 vote .
1412,PER/Brett Favre;,Brett Favre has been done since ummm 2006
1413,PER/Brett Favre;ORG/Lions;,Brett Favre inactive today against the Lions
1414,PER/Brian Eno;PER/Brian Eno;,Brian Eno Praises Warp Records Renowned producer Brian Eno has spoken of his respect for electronic label Wa ...
1415,PER/Brian Pumper;,Brian Pumper wears fake jewelry
1416,PER/Leon Powe;ORG/the Celtics;,Bring Leon Powe back to the Celtics
1417,,Bring on the New Year! We are not afraid of you or your resolutions!
1418,PER/Greg Inglis;,"Broncos, Storm wo n't consider Greg Inglis return if Rabbitohs deal falls through Courier Mail via"
1419,ORG/Leggo;PER/Michael Johnson;,BROOKINS BITCH! RT Leggo Michael Johnson!!!
1420,PER/Noel Gallagher;,btw Noel Gallagher is on talksport now! .
1421,PER/Polamula;PER/Hines ward;,Btwn him and Polamula they the only ones I'm worried bout RT Hines ward in da cut quiet focused
1422,ORG/Packers;MISC/superbowl;ORG/Jets;,But congrats to the Packers for making it to superbowl . They 'll be playing the ... Jets . Right? Here the consistency is pretty much back again .
1423,PER/Brandon Jacobs;PER/Charles Woodson;,"But I remember Brandon Jacobs running Charles Woodson the FUCK OVER! Then again, who has n't gotten run over by that guy"
1424,ORG/the steelers;MISC/super bowl;,but if the steelers win the super bowl this year thats 2 more then us . . so i can root against a team
1425,,but it says 4am-7am ( live at
1426,LOC/El Toreador Restaurant;,by I just checked in at El Toreador Restaurant on and earned the Mexi-Can badge! ...
1427,,C-Money getting competitive with the GreenMonster . Took off the jacket and the hat is on backward . Oh snaps .
1428,ORG/Steelers;MISC/super bowl;,C'mon Steelers! Gotta make it to the super bowl again
1429,ORG/Cabinet Office;PER/Nick Clegg;,Cabinet Office denies conflict of interest over payments to Nick Clegg's wife's firm (PIGS NOSE IN THE TROUGH)
1430,PER/Saddam Hussein;,Cable reveals details about Saddam Hussein's 'hastily run' execution - ( ITS COMMING! IF NOT ALREADY HERE!
1431,PER/Caleb Hanie;LOC/Forney;LOC/Chicago;,Caleb Hanie from Forney may go from nobody to God if he leads Chicago to a comeback and further show how bad 2006 QB class was .
1432,PER/Caleb Hanie;PER/Jay Cutler;,"Caleb Hanie might not have won the game, but he definitely has bigger balls than Jay Cutler ."
1433,LOC/Cali;,Cali weather is krazyyy; time to pull out the cargo shorts!!
1434,LOC/California;LOC/Delta-Mendota canal;LOC/Patterson;,California 5th vehicle recovered from the Delta-Mendota canal near Patterson in search for boy
1435,PER/Cam Newton;PER/Auburn;,"Cam Newton can ball man, Auburn needs this win though"
1436,PER/Cam Newton;ORG/the Bengals;,Cam Newton is NOT going to the Bengals ...
1437,PER/Adrian Chiles;,Can Adrian Chiles get the fuck off my TV!?! He's fucking everywhere!!
1438,PER/Richard Bach;,"""Can miles truly separate you from friends . . If you want to be with someone you love, are n't you already there? ~ Richard Bach / / """
1439,,yer only trying to go back on what ye said to stop getting hate live on
1440,ORG/Bears;,"Ca n't ask them to do anymore . RT Bears D is ridiculous right now, giving the offense consistent chances to come back"
1441,PER/brandon flowers;,ca n't believe I missed brandon flowers live! .
1442,,Candlelight - With recovery in sight .
1443,,Caring Process of Cell Phones
1444,PER/Carly Simon;,Carly Simon - You 're So Vain (with lyrics) via
1445,PER/Carly Simon;,"""Carly Simon talks about "" ""You 're So Vain "" "" via """
1446,LOC/Casa Corazon;,Casa Corazon is one of the best units available for vacation rentals It has it's own private beach
1447,,Casual dresses to wear to a wedding by nimboo As a minor woman? or very same now? I am confident that you dec. . .
1448,PER/Catherine Zeta-Jones;,"Catherine Zeta-Jones where art thou, fair maiden? So I can smasheth thee"
1449,PER/Chace Crawford;,Chace Crawford
1450,PER/Denis Waitley;,"Change the changeable, accept the unchangeable, and remove yourself from the unacceptable . - Denis Waitley"
1451,PER/John D. Rockefeller;,Charity is injurious unless it helps the recipient to become independent of it . - John D. Rockefeller
1452,PER/Charles Woodson;LOC/Michigan;,Charles Woodson is one of my favorite Michigan players ever
1453,PER/Charlie Murphhyyyy;,Charlie Murphhyyyy
1454,,Check out all the health benefits of tea visit Adagio teas ~
1455,PER/Sananda Maitreya;,Check out music from Sananda Maitreya
1456,ORG/Timex;ORG/Timex;,Check out this Amazon deal 'Timex Kids' T89001 Hearts and Butterflies Stretch Band Watch' by Timex
1457,,Check out this awesome site 5 In 1
1458,,"Check out this great item Earth Standard for Casio Exilim EX-Z30, EX-Z40, EX-50"
1459,,check out this juicy !
1460,PER/Holly;,Check this new video on Tubeminator Holly gets tickled by Mistress Red . wmv
1461,PER/SANANDA MAITREYA;,Check this video out 3 I Never Know - SANANDA MAITREYA & The Nudge Nudge via
1462,PER/Aretha Franklin;,Check this video out Aretha Franklin Just My Daydream via
1463,ORG/Black Eyed Peas;,Check this video out Black Eyed Peas - The Time (Dirty Bit) via
1464,,Check this video out Exodus (1960) - theme via
1465,,Checked in the Renaissance!!! Bouta head out n do some quick shopping for this chick!!
1466,ORG/Chicago Bears;,Chicago Bears you 've got some splaining to do!
1467,LOC/Chicago;,Chicago got that td outta no where!! Lol
1468,PER/Dean Martin;,Chill Sunday ... on that Dean Martin music flow
1469,ORG/Joe Lean & The Jing Jang Jong;,"Chilling out listening to Joe Lean & The Jing Jang Jong, My fav band of all time!!"
1470,PER/Cheng Jianping;,Chinese Woman Jailed Over Single Tweet - Cheng Jianping is to spend 1 year in a labor camp
1471,PER/Chris Brown;PER/Bow Wow;,Chris Brown and Bow Wow need rehab ... maybe the same one? haha
1472,PER/Chris Brown;,Chris Brown is about to be media porked ... his career has had a dead line
1473,PER/CHRIST BLINK;,CHRIST BLINK 182 TICKETS ARE SELLING OUT FAST! .
1474,PER/Christopher Hitchens;PER/Mother Teresa;,"Christopher Hitchens on Mother Teresa, Nazism, the hungry search for knowledge vs. the poison chalice of religious dogma ..."
1475,PER/Christopher Hitchens;PER/Tony Blair;PER/Tony;,Christopher Hitchens versus Tony Blair (video) . I like them both; regret that Tony went goofy . Is that first ass Munk?
1476,PER/Christopher Hitchens;PER/Tony Blair;PER/Tony;,Christopher Hitchens versus Tony Blair (video) . I like them both; regret that Tony went goofy . Who is that first ass?
1477,PER/Christopher Hitchens;PER/Tony Blair;PER/Tony;,Christopher Hitchens versus Tony Blair (video) . I like them both; regret that Tony went goofy .
1478,PER/Christopher Hitchens;,Christopher Hitchens 'You have to choose your future regrets'
1479,PER/Christopher Walken;,Christopher Walken's 3 little pigs - LOL!
1480,ORG/Chuck Brown & The Soul Searchers;,"""Chuck Brown & The Soul Searchers "" ""Ashley's Roachclip "" "" via """
1481,ORG/Bears;ORG/Packers;,Classy . - > RT Bears season over . Tough loss . Congrats to Packers and their fans . Good luck on the big day .
1482,,"Clothes Wash/Microwave 10W, Office Lights 46W, Basement Bath Rm 0W, Rec Room 87W"
1483,,"Clothes Wash/Microwave 199W, Office Lights 44W, Basement Bath Rm 0W, Rec Room 86W"
1484,,"Coda All things Dismemberment Plan; Odd Future's future; Metro, remixed! Check the blog on Monday for a review o. . ."
1485,,Cody < 3 ( live at
1486,ORG/Wikileaks;PER/Julian Assange;,Coincidence or conspiracy? Wikileaks founder Julian Assange faces new warrant
1487,,come check me and my gz out in the studio (Broadcasting live at
1488,,"""Come to "" ""Magic the Gathering for Beginners "" "" Tuesday "", January 25 from 6:30 pm to 9:30 pm . Event Details A class ..."
1489,PER/Henry Ford;,Coming together is a beginning; keeping together is progress; working together is success . ~ Henry Ford
1490,MISC/SUPERBOWL;,"Congrats, hope you play well :) RT WE ARE GOING TO THE SUPERBOWL!!!!!! OH YEAH BABY!!!!!!!!"
1491,ORG/SI sports;PER/Drew Brees;,Congrats RT SI sports figure of the year Drew Brees
1492,PER/Elton John;PER/David Furnish;,Congratulations to Elton John and David Furnish as they welcome their Baby Boy
1493,,"Congratulations! You and your team pulled off this big job . For your troubles you 've earned $ 468,109.00 ..."
1494,PER/Giffords;LOC/Texas;,Congresswoman Giffords on road to rehab in Texas - (Like it?
1495,PER/Connolly;PER/Connolly;PER/DeSean Jackson;,Connolly for sure! RT Which was more impressive - Connolly's or DeSean Jackson's?
1496,,"Consider yourself no longer 'randomised' 8 -) RT Haha, just making the connection :) Nice ..."
1497,PER/Oscar Wilde;,Consistency is the last refuge of the unimaginative . Oscar Wilde
1498,PER/Bernard Berenson;,Consistency requires you to br as ignorant today as you were a year ago.-Bernard Berenson
1499,PER/Manuel de la Torre;,"Continua llegando gente de Manuel de la Torre a Cocoso, se espera la salida del titular ."
1500,,Controlling Pests in your Organic Garden One of the main concerns of gardeners considering switching to organic ...
1501,,cool brand-new emo boy animated gifs
1502,,Cool science of the week Cats draw jets of fluid into their mouths with the tips of their tongues .
1503,MISC/Coronation Street;PER/Jenny McAlpine;,Coronation Street's Jenny McAlpine passes on acting tips to kids
1504,PER/Glenn Beck;,"Countdown Glenn Beck, the communist?"
1505,,Crap . Iheartradio apparently has a steelers blackout . Advice for online audio streaming of the game?
1506,,Credit Reports
1507,ORG/Crystal Castles;PER/Jimmy Kimmel;,"Crystal Castles is performing on Jimmy Kimmel . Reminds me how I really want to see them again live, maybe more sober so I remember it haha ."
1508,,Currency Majors Technical Perspective EUR/USD Current price 1.3605 View Live Chart for the EUR/USD Majors star ...
1509,,Currently reading
1510,PER/Stephen Hawking;,"Currently Reading Stephen Hawking - The Grand Design, the Mother in Law is coming I think I am reading all night ."
1511,PER/Curtis Mayfield;,Curtis Mayfield - Right On For the Darkness via
1512,ORG/BluEyes One;PER/Diego Redd;PER/ClintonPlace;,Cut the Check Featuring BluEyes One & Diego Redd by ClintonPlace via
1513,ORG/BluEyes One;PER/Diego Redd;PER/ClintonPlace;,Cut the Check Featuring BluEyes One & Diego Redd by ClintonPlace via < song of the day
1514,,Cute dress RT seen on the scene
1515,PER/Cutler;LOC/Chicago;,"Cutler, you have to realize what city you 're playing in . If you even TRIED to play injured, Chicago fans would love you for it ."
1516,,Cuz baby now I realize that I was wrong When I said I did n't need you so Miss you b. . .
1517,PER/R. Kelly;,Cuz I'm a jerk \* R. Kelly voice \*
1518,PER/Daigo Saito;,Daigo Saito is the man!!!!!
1519,ORG/Rolls Royce;,Damage Worse Than Thought in Jet Engine Blast - Black eye for Rolls Royce Engines
1520,,Damn my own niggas do n't believe me RT nah I used 2 give u Da benefit of the Doubt but nah! U dat Nigga blacc
1521,,Damn this nigga just backed into this bitch car at the gas station
1522,PER/Barack obama;,Damn ... Never seen Barack Barack obama like this hahah Hotnas Brothers
1523,MISC/Dateline NBC;PER/William;PER/Kate;,Dateline NBC is showing William & Kate A Royal Love Story!
1524,PER/David Hasselhoof;,"David Hasselhoof on tomorrow, why, he's a has-been, he is freakin creepy & a Narcissist"
1526,PER/David Suzuki;,David Suzuki makes more sense on the economy
1527,LOC/Davos;ORG/Bloomberg;,Davos Excludes Half the World in Global Agenda as Women Miss 30% Threshold - Bloomberg
1528,,"Day 8 - Most Difficult Boss Battle - UGH I have two answers for this? Oh hey, I found a nice picture with ..."
1529,PER/Dean Radin;,"""Dean Radin discusses "" ""the stupidity hypothesis "" "" versus the "" ""invisible college "" "" of psychic phenomena research . """
1530,PER/Thomas Paine;,"""Dec. 1776 vs. Dec. 2010 . Check out this edition of "" "" "" by Thomas Paine . """
1531,,Deep Space Network's Goldstone Antenna Overhauled
1532,MISC/Super bowl;,Defense won the game for the Packers today . Super bowl bound
1533,,definitely gonna go for another fish in the seaaaa (YouTube
1534,PER/SHEMAR MOORE;,definitely not random RT : SHEMAR MOORE is so fine!!
1535,ORG/Department of Homeland Security;,Department of Homeland Security from 2005 to 2009
1536,MISC/Desperate Housewives;PER/Rochelle Aytes;PER/Keith;,Desperate Housewives Casts Rochelle Aytes As Keith's Ex Movieline via
1537,ORG/Destiny's Child;,Destiny's Child and Sistas Forever! I Love they very much!
1538,PER/DiCaprio;PER/Putin;ORG/NZ Herald News;,DiCaprio's efforts for tigers impress Putin - Entertainment - NZ Herald News via
1539,PER/Dick Butkus;PER/Bart Starr;,Dick Butkus would have quit the game before ever being tackled by Bart Starr .
1540,,RT Hey I kno ur feelings hurt cuz of the points I put up ... but it's ur turn
1541,PER/Jake Gyllenhall;PER/Jimmy Fallon;,"Did anybody catch Jake Gyllenhall on Jimmy Fallon last night?, he busted out some serious moves . . & Mad Skillz??, who knew? luv both Caans ."
1542,LOC/Nepal;LOC/KATHMANDU;LOC/Nepal;,"Did you hear? 140 tourists stranded at airport in Nepal KATHMANDU, Nepal - More than 140 internat ..."
1543,PER/Allison Dubois;MISC/RHOBH;,"did you see Allison Dubois on RHOBH? if not it's a must, on Bravo 6pm tonight . would love your opinion on her appearance"
1544,ORG/Diddy-Dirty Money;MISC/Paris Fashion Week;ORG/Diddy-Dirty Money;LOC/Paris;,Diddy-Dirty Money Does Dior at Paris Fashion Week Diddy-Dirty Money caught the last train to Paris earlier toda ...
1545,,Didnt get job and happy about it . They wanted a cross between a super hero and jesus christ . Not a psych nurse .
1546,,Die for my nigga 4real if anything happen to him i would n't know what to do
1547,PER/Dimitar Berbatov;ORG/Premier League;ORG/Manchester Un;,Dimitar Berbatov grabbed his third hat-trick of the season to guide unbeaten Premier League leader Manchester Un ...
1548,ORG/Direct Action;ORG/Twitter;ORG/Brighton Uncut;,"Direct Action training via Twitter tomorrow, 2sessions from Brighton Uncut"
1549,PER/William S. Burroughs;PER/William S. Burroughs;,"""Director Turns to "" ""William S. Burroughs "" "" For Debut Feature If William S. Burroughs's work seems different "", his ..."
1550,,Discount Down Coat Anything You Wish To Know She basically buys discount designer clothing . One of the web sit ...
1551,PER/Lady Gaya;,"""Discover the actual Modification in Lady Gaya "" ""Previously and After "" "" Cosmetic Transplantation Demi Tomato """
1552,PER/Heather Mills;MISC/Happy Foot;,"Disney have announced that Heather Mills will be touring in the musical version of their hit film, Happy Foot ."
1553,PER/Sam Shields;,"Ditto!! RT If there's anyone I'm okay to see picking off cutler, it's Sam Shields ..."
1554,PER/Ralph Waldo Emerson;,"Do not go where the path may lead, go instead to where there is no path and leave a trail . - Ralph Waldo Emerson"
1555,,do you have to rt every single mention you get a shoutout?
1556,PER/Hank Scorpio;,Does Hank Scorpio have a twitter account? does he?
1557,PER/Norman;PER/Norman;,Does it get any cuter then this?? Yesterday was Norman's 90th BDay . Happy 90th birthday Norman!!
1558,,"Does playing the guitar make your fingers grow? Professional ... I have recntly started playing the guitar, a. . ."
1559,,Doing a video chat with 2 other people - click the link to join > (
1560,,Doing a video chat with 45 other people - click the link to join > (
1561,,Doing a video chat with 65 other people - click the link to join > (
1562,PER/Leslie Nielsen;,Doing nothing is very hard to do - you never know when you 're finished . - Leslie Nielsen
1563,PER/Wayne Dyer;,Doing what you love is the cornerstone of having abundance in your life - Wayne Dyer
1564,LOC/Han River;,"Don? t butt in, did you throw away your common sense in the Han River?? Or did you sell it in the market?? Why are you stick your nose in"
1565,,Don? t Let it Pop Up! Computer Repair Companies Tackle the Malware Predicament
1566,ORG/Packers;,Do n't become an enemy RT Hahaha \* happy dance \* RT Packers take that celebrating across the border please
1567,PER/John Lennon;PER/Barbara;,do n't forget John Lennon Barbara
1568,PER/Greg Behrendt;PER/Liz Tucillo;,Do n't give your heart to ANY guy who makes you wonder about ANYTHING related to his feelings for you .' Greg Behrendt & Liz Tucillo
1569,PER/Jim Rohn;,"Do n't just read the easy stuff . You may be entertained by it, but you will never grow from it . ~ Jim Rohn"
1570,PER/Woody Allen;,Do n't knock masturbation - it's sex with someone I love . ~ Woody Allen
1571,LOC/Green Bay;,"Do n't know they named 'Green Bay', but I guarantee it was n't about efficient energy . That leaves algae, moss, or St. Patrick's day dye ."
1572,PER/Nicki Minaj;,Do n't miss with host and performances with Nicki Minaj and more tonight at 9 PM!
1573,ORG/ITV1;LOC/London;,"Do n't miss The 40 Year Old Virgin, ITV1 (London) . Starts in 10 mins ."
1574,,Do n't step on the graves! It's bad luck . (@ Forest Lawn - Hollywood Hills)
1575,,Do n't subtweet me RT < 3 < this is gay even for a girl to do
1576,PER/Albert Camu;,Do n't wait for the last judgment . It takes place every day . - Albert Camu
1577,PER/Napoleon Hill;,Do n't wait . The time will never be just right . ~ Napoleon Hill
1578,LOC/Chicago;,Do n't worry Chicago we 'll get there next year
1579,PER/F. Scott Fitzgerald;,"Do n't write because you want to say something, write because you have something to say - F. Scott Fitzgerald"
1580,PER/Donald Trump;,Donald Trump eyes 2012 presidential run Raw Story
1581,PER/Donald Trump;PER/Sarah Palin;,"Donald Trump I Like Sarah Palin, 'But I 'd Take Her On' In 2012 (AMERICA CORNERS THE ALTERNATIVE DEMOCRACY MARKET)"
1582,PER/Keith Olbermann;PER/Jeff Zucker;,"Dont know about Keith Olbermann but if Jeff Zucker approved this show (i'm sure he did), He deserved to be shown the door ."
1583,PER/Montana voice;,"DOUG, whachu know about it \* French Montana voice \*"
1584,PER/Henry Killinger;,Dr. Henry Killinger (one of my favorite Venture Brothers characters)
1585,,Dumb Cheese-Heads!! RT Dutch soldiers 'blew up own car'
1586,,Dutch to Ban Tourists from Buying Pot
1587,,Easter only a few months away ... luckily it's easy as spring is here already; easier to get in the mindset .
1588,PER/Bruno Mars;,"""Easy come, easy go . . thats just how you live ... oh take take take it all, but you never give Grenade by Bruno Mars """
1589,,Eat responsibly .
1590,PER/Ed O'Neill;PER/Kanye;PER/Jane Lynch;,Ed O'Neill pulling a Kanye about Jane Lynch . Not cool at all!
1591,PER/Napoleon Hill;,Education comes from within; you get it by struggle and effort and thought . ~ Napoleon Hill
1592,PER/Mandela;PER/jakson;,Education is the most powerful weapon which you can use to change the world . ~ Mandela I love that quote . my best - jakson
1593,PER/Stephen Covey;,Effective leadership is putting first things first . ~ Stephen Covey
1594,ORG/Twitter;,Egg-xactly . Shut up . It's Twitter RT i think until we actually find out what's wrong (cont)
1595,,eid al-adha is in two days . now listening to raya songs
1596,,"Eid Mubarak - Eid Mubarak; Happy Eid al-Adha (tomorrow, November 17 2010) to all Muslims all over the ..."
1597,PER/ELEANOR SMEAL;,ELEANOR SMEAL Senate Republicans Tell Women You Are Mere Pawns
1598,PER/Elizabeth Edwards;,Elizabeth Edwards died Tuesday afternoon after a six-year battle with breast cancer .
1599,PER/Elton John;,"Elton John has never owned a parrot, but he has had a Cockatoo ."
1600,PER/Elvis Costello;MISC/The Impostors;LOC/Brasil;,Elvis Costello e The Impostors far_o show no Brasil em abril
1601,ORG/Emirates;PER/Clark;ORG/R-R;,Emirates' Clark Confident R-R Will Nail A380's Trent Problem
1602,PER/Emma Watson;MISC/Harry Potter;,Emma Watson Offers To 'Take Off' Her Dress At 'Harry Potter' Premiere
1604,PER/Larry King;,End of an Era Larry King Signs Off
1605,PER/Eric Church;,Eric Church just irritates the crap out of me .
1606,PER/Ernie Hines;,Ernie Hines - Our Generation via
1607,LOC/UK;,Estate Planning Pension particulars what changes to legislation mean for UK expats
1608,PER/George Vlosich III;,Etch A Sketch Art by George Vlosich III Anyone who ever turned the knobs of an Etch A Sketch toy knows how hard ...
1609,LOC/Nederland;,Europarlement wil Nederland straffen'
1610,ORG/Jets;PER/Sanchez;PER/Brady;PER/Manning;PER/Big Ben;,"Even If The Jets Do Win, Sanchez Will Not Be In Discussion With Brady, Manning, Or Big Ben Sorry ."
1611,,"even if the sky is falling down \* qdm, nois minha linda :)"
1612,PER/Napoleon Hill;,"Every adversity, every failure, every heartache carries with it the seed on an equa . . Napoleon Hill"
1613,PER/Napoleon Hill;,"Every adversity, every failure, every heartache carries with it the seed on an equal or greater benefit ~ Napoleon Hill"
1614,,every morning you come town?!?! (Like it?
1615,PER/Napoleon Hill;,Every person who wins in any undertaking must be willing to cut all sources of retreat . ~ Napoleon Hill
1616,PER/Donald Trump;,"Every time you walk down the street people are screaming, 'You 're fired!' ~ Donald Trump"
1617,LOC/AZ;ORG/the Steelers;MISC/Super Bowl XLIII;,Everyone in AZ going for the Steelers or what? Did they go for them in Super Bowl XLIII as well? Hah
1618,PER/John Barth;,Everyone is necessarily the hero of his own life story . - John Barth
1619,PER/Leo Tolstoy;,"Everyone thinks of changing the world, but no one thinks of changing himself . - Leo Tolstoy"
1620,PER/Alan Cohen;,Everything will change when your desire to move on exceeds your desire to hold on . - Alan Cohen
1621,LOC/Miami;ORG/Hurricanes;ORG/Green Bay;PER/Sam Shields;ORG/Packers;,Ex-Miami Hurricanes WR now Green Bay DB Sam Shields has been huge for the Packers today .
1622,PER/Micheal Turner;,Exactly RT Micheal Turner do n't need to be on any plays on the goal line I see lol
1623,PER/Henry Ford;,"Exercise is bunk . If you are healthy, you do n't need it if you are sick you should not take it . ~ Henry Ford"
1624,,Explosion victim to be transferred to burns unit
1625,,Eyah RT RT The best things about a enemies is that his tells the true about you .
1626,ORG/Facebook;,Facebook added 100 million users in less than 9 months? iPhone applications hit 1 billion in 9 months .
1627,ORG/Facebook;ORG/Twitter;,Facebook is more interesting that Twitter tonight . And that's saying something .
1628,PER/Chevy Chase;PER/Steely Dan;,"FACT Actor Chevy Chase occasionally played pick-up drums for one of the original lineups of Steely Dan, known as The Leather Canary ."
1629,PER/George Brett;ORG/the Royals;MISC/Pine Tar Game;,"FACT As part of his 1984 contract extension, George Brett agreed to give the Royals the bat he used in the 'Pine Tar Game' on July 24,1983"
1630,PER/William Moulton Marston;,"FACT Dr. William Moulton Marston, the man who created Wonder Woman, also designed an early lie detector ."
1631,PER/Lisa Kudrow;PER/Roz;MISC/Frasier;PER/Peri Gilpin;,"FACT Lisa Kudrow was the original Roz on Frasier . During rehearsals before the pilot episode, however, she was replaced by Peri Gilpin ."
1632,PER/Louis Armstrong;,FACT Louis Armstrong played the trumpet so much that he got callouses on his lips so he cut them off with a razor blade .
1633,PER/Orson Welles;MISC/Transformers : The Movie;,"FACT Orson Welles' last film role was as the voice actor for the character ""Unicron "", in ""Transformers The Movie "" (animated), in 1986 ."
1634,PER/Paul McCartney;ORG/the Beatles;PER/Ringo;,"FACT Paul McCartney played bass left-handed, but he was n't the only southpaw member of the Beatles . Ringo is a lefty as well ."
1635,PER/Jesus Christ;,Father forgive them . For they know not what they do . ~ Jesus Christ
1636,PER/Richard Horton;,Fear is the true counterpoint to reason . Richard Horton
1637,PER/Brandon Roy;,"Feel bad for Brandon Roy, his knee injury sounds like what had to deal with at the end of his career"
1638,PER/Felix da Housecat;,Felix da Housecat - Madame Hollywood via
1639,PER/Tiger Woods;,Filbert episode! \* Tiger Woods fist pump \*
1640,MISC/Sundays at Tiffanys;PER/James Patterson;,finally getting around to watching in Sundays at Tiffanys by James Patterson
1641,PER/Richard Gere;,Finally tuning into the OWN network 4the first time (hangs head in shame) & an Officer and a Gentleman is on! Richard Gere = swoon ok?
1642,MISC/Super Bowl;ORG/Packers;ORG/Stillers;,"""First part of Super Bowl Prediction of "" ""Packers vs. Stillers "" "" confirmed ... """
1643,PER/Charlize Theron;,First prize Charlize Theron auctions herself off at a charity event
1644,ORG/House Republicans;PER/John Boehner;,FLASH House Republicans pick John Boehner to serve as speaker when they take control in January Balle balle
1645,,Folk Tales of the World
1646,,Following because told me to!!!! :)
1647,PER/Fonda Rae;,Fonda Rae - Over like a fat rat 1982 via
1648,ORG/Belgian First Division;ORG/Genk;ORG/Racing Genk;,Football News Belgian First Division wrap Genk back to winning ways Racing Genk snapped a run of four draws in ...
1649,PER/Tony Robbins;,"For changes to be of any true value, they 've got to be lasting and consistent . ~ Tony Robbins"
1651,,"For only $ 4 million, this mansion could be yours"
1652,MISC/the NFC Championship;PER/BJ Raji;,"For those watching the NFC Championship game, what a play by BJ Raji"
1653,MISC/Oscar;,For Your Consideration The 10 Worst Original Song Oscar Snubs of the Past 10 Years In honor of the six-days-an ...
1654,PER/Jim Rohn;,Formal education will make you a living; self education will make you a fortune . - Jim Rohn
1655,PER/Jim Rohn;,Formal education will make you a living; self-education will make you a fortune . ~ Jim Rohn
1656,PER/Dwayne Johnson;MISC/Fast and the Furious;MISC/Fast Five;,"Former star Dwayne Johnson, aka 'The Rock', talks 5th 'Fast and the Furious' film, 'Fast Five'"
1657,ORG/OWC;,Found the missing 19% of OWC shares! I left them in my pants pocket and sent them through the washer . Oops!
1658,PER/Fran Fine;,Fran Fine time
1659,PER/frank turner;ORG/birmingham;,frank turner will you ever play birmingham again? .
1660,ORG/Marie Claire;,Free film preview tickets Celebrity gossip Marie Claire via
1661,,Free Nature Sounds Nature Of Sound Nature Of Sounds Sound Of Rain Nature Sound
1662,MISC/Super Bowl;LOC/The Golf Cave;,Free Super Bowl beers! (@ The Golf Cave)
1663,PER/Sorkozy;,French prime minister resigns - Go get 'tem Sorkozy
1664,,Friends are family you choose for yourself . ~ Author Unknown
1665,PER/Samuel Butler;,"Friendship is like money, easier made than kept . - Samuel Butler"
1666,LOC/NYC;,From a NYC guy 'How About We ... go to a local playground and pretend we 're kids ...' See who he is at
1667,MISC/AvWeek Intelligence Network;,From the AvWeek Intelligence Network Trent Shortage Prompts Rolls To Plunder A380 Line
1668,MISC/Tim & Eric Awesome Show;,"""Fuck that show! Boooooooooo lol RT The "" ""Tim & Eric Awesome Show Great Job Crimbus Special "" "" will go down in infamy """
